sn,Comments,Labels
828,"Since you ask......You obviously do not want my business.  I simply wanted to increase my credit limit from $6,000 to $10,000.  This was to facilitate a purchase I made from Alexanian Carpet and Flooring costing $8,500.  I made a down-payment of $3,500 and the balance of $5,000 will be paid on completion of the installation around the middle of November.  Since I also use my  ABC MasterCard for YYY purchases I requested this increase to facilitate the process as I did not want the second transaction of $5,000 to be stopped or my YYY weekly purchases to be turned aside.
As you are fully aware, I pay the balance of my account when my statement is received.
As I mentioned to your people, one does not upgrade flooring frequently and the increased limit was only to facilitate the transaction.
As discussed, I will transfer sufficient funds into my credit card account so that when the transaction from Alexanian is processed there will be a ""credit"" balance to allow the transaction to go through.
As a long standing customer of YYY, when they had American Express as their partner I had no issues like these whatsoever with them.","Account Communications ,Branch ,Brand ,Payments ,Terms ,Transaction Types ,Transactions/Process Experience "
829,Very courteous and professional,"Representative ,Representative "
830,Customer service is very good and they resolved my issue very quickly,"Customer Service ,Issue Resolution ,Issue Resolution ,Representative "
831,Staff were friendly and helpful,"Representative ,Representative "
832,The representative was kind and answered all my questions.,Representative 
833,I received a good and kind service.,Customer Service 
834,I am able to speak to a live representative who whenever I have need help or an explanation have been knowledgeable and polite.,"Phone Experience ,Representative ,Representative ,Representative "
835,Easy and spontaneous reminder on your purchase and balance,Phone Experience 
836,Was concise and courteous,Representative 
837,The person I spoke to gave me the contact information that I needed.  He was friendly too.,Representative 
838,Ive heard from friends that  ABC has good reputation concerning credit catds,"Brand ,Brand ,Policy "
839,The representative I dealt with was fantastic! She walked me through the process.,"Representative ,Representative "
840,Amazing service so far,Customer Service 
841,"I ordered a television online in Trinidad because I spend about six months there since I retired, the company cancelled the television transaction and failed to return my money to the credit card. I called and informed  ABC, I tried calling the company but soon as I give them my acc# they hang up several times. I even send them an email to the effect, but they did not answer. now I have no TV and no money.","Brand ,Life Events ,Phone Experience ,Representative "
842,Easy to talk with,Representative 
843,"Very polite, patient and helpful.
Provided a complete service, from start to finish. Thankful","Representative ,Representative "
844,Responsiveness when we have a question or problem and the rewards program.,"Representative ,Rewards "
845,Professional friendly service/ staff,"Representative ,Representative "
846,It’s a good company,Brand 
